ID,DensT,FritC,StifF,RollR,Total_Acum_Mass_Ini [kg],Total_Acum_Mass_Out [kg],AVG_W_IN [kg/s],SD_W_IN [kg/s],AVG_TOT_IN [kg/s],AVG_W_OUT [kg/s],SD_W_OUT [kg/s],AVG_TOT_OUT [kg/s],Slider_Left_MAX_AVG [kN],Slider_Left_MAX_SD [kN],Slider_Left_MIN_AVG [kN],Slider_Left_MIN_SD [kN],Slider_Right_MAX_AVG [kN],Slider_Right_MAX_SD [kN],Slider_Right_MIN_AVG [kN],Slider_Right_MIN_SD [kN],Slider_Total_MAX_AVG [kN],Slider_Total_MAX_SD [kN],Slider_Total_MIN_AVG [kN],Slider_Total_MIN_SD [kN],WoT_AVG [kJ],WoT_SD [kJ]
127.0,700.0,0.3,0.2,0.2,6121.795072192019,1766.5383934061567,3.112306626131302,0.3819584515298924,2.782634123723645,0.7231804438000846,0.293178109910584,0.8029719970027985,11.54947664143942,2.4224848368188683,-27.192273808815884,3.468630654298152,12.638399139751614,1.720017965244777,-25.56835910593732,4.400644340826429,23.797979171290983,3.3695227532636043,-50.24811714765217,7.237887041151249,37.64884457221466,4.2430366479473385
128.0,700.0,0.4,0.2,0.2,5517.882520942981,1659.930614640262,2.8525490811267766,0.4466412186460841,2.5081284186104456,0.7456173479130863,0.5075121869750716,0.7545139157455737,10.951216111061134,2.766099991661783,-27.913239490688305,3.4680443128422507,11.530758016359837,2.207620192423419,-26.67951469423395,5.514301819024179,21.56690167785624,4.61383405941866,-52.31470951649972,8.89546696006308,36.72685120701348,4.438526009641212
129.0,700.0,0.5,0.2,0.2,5412.454351680259,2092.1408568003767,2.884785437802846,0.4272793253291083,2.460206523491027,0.86351877753339,0.6321176121358661,0.950973116727444,10.703190621426351,2.0641567132858016,-25.07175605075248,3.1099765451048693,11.745435013385924,1.648200149791014,-26.14630066313498,3.376461509383121,21.725744182304936,3.1946528498287265,-47.82197383579041,5.088993822913754,34.44846557131301,2.077891875579472
130.0,700.0,0.6,0.2,0.2,5044.059034038724,1927.3329902284515,2.6985027428066246,0.4730475314784622,2.2927541063812384,0.9420699051089652,0.5067269652267782,0.8760604501038416,9.571551420208992,1.887965538472256,-25.574881934112632,2.016898230424605,12.164717527412003,1.5686364288113863,-28.563917069135616,2.9900759778769195,21.523123572984986,2.826997321985481,-50.50185927128846,4.583376088394019,34.491233931409845,3.7151075645743146
131.0,700.0,0.7,0.2,0.2,5497.497441188458,2360.0628920502527,2.843009248519018,0.5159369922305135,2.4988624732674807,1.0551726126925214,0.3298442445637626,1.0727558600228422,9.704304575460048,2.008427424178349,-26.016118400267903,3.16011999706334,10.438499764651624,2.115494154429627,-26.23945166635553,3.195016192356961,19.5383839507766,3.8964818088684927,-49.041525721576186,5.072445356254179,33.14875788071583,3.369596977816239
132.0,700.0,0.1,0.25,0.2,7543.123455869596,1657.3894974514476,3.2606368892795623,0.6929154703708522,3.428692479940725,0.7161402775924248,0.2029254669238213,0.7533588624779307,13.235138123986824,1.730354932934388,-32.630609730217415,11.19588187230602,13.783598635679084,1.3234923962738148,-30.40970338104969,7.347258809584254,26.37681150879965,2.44651798503251,-61.13837188664985,18.734998982877997,44.05209742662227,7.82176879958903
133.0,700.0,0.2,0.25,0.2,6664.585619026255,1456.0765655501557,3.2752006111555083,0.6039913997425228,3.0293570995573886,0.5930221932863003,0.2832350440782455,0.6618529843409798,11.663293815411782,1.6074334361773166,-29.920277032316346,3.423370879486322,13.533178579302424,1.2101827438292638,-31.55426137898812,6.158821882306534,24.780579569703868,2.5771335737336614,-59.27896041095767,5.3084874353853415,44.14698401490551,3.92962898487074
134.0,700.0,0.3,0.25,0.2,5086.878165795391,1410.815759818434,2.6697946601337166,0.3017616046304318,2.312217348088814,0.6058951642352766,0.650589960220115,0.6412798908265609,12.980988003855554,2.596935393527631,-29.127977452498023,3.564301036151801,14.332736026564197,2.55860777076226,-30.500618377705752,3.227607231083864,25.7645725671768,3.496690799857164,-57.91439320619754,6.136355822185063,41.34177420308146,5.113194955516323
135.0,700.0,0.4,0.25,0.2,3762.208585726597,1353.0078574898348,2.141263301097681,0.324597310250291,1.7100948116939076,0.6018048759645103,0.5573200333197574,0.6150035715862886,14.798457533666587,2.169999830614465,-29.94186208665497,3.776010351777096,14.888654387148566,2.224274713517431,-37.205417247973365,5.707734805915321,28.44604484268029,3.3477377259458527,-65.80770201215626,7.731058541457848,38.76912860541552,2.128025071544311
136.0,700.0,0.5,0.25,0.2,1757.3713108845902,1389.3590043669103,0.8930736364003826,0.2917639770459692,0.7988051413111774,0.6159734717348284,0.4708211300039263,0.6315268201667774,14.586276812072866,2.6788001017075187,-31.10190175174987,2.378235911417878,17.888637670486276,0.2381249840308695,-42.95374473371108,2.387272529735296,31.123489455381605,2.222452166801825,-73.80318258233295,4.627917924101019,33.645115709058096,1.1747464363308744
